port_id,alias
1,original_dataset
3,name_cleaning_log
4,data_with_cleaned_names_and_dates
5,date_cleaning_log
7,original_dataset
8,data_with_cleaned_names
9,name_cleaning_log
11,name_cleaning_log
13,local_authority_source_scientificName_list
14,original_dataset
15,scientificName
16,authorship
18,other_fields
20,name_cleaning_log
21,scientificName
22,empty_scientificName
23,nonEmpty_scientificName
24,name_cleaning_log
26,empty_scientificName
27,record_final_status
28,unable-to-validate_record_count
29,name_cleaning_log
30,nonEmpty_scientificName
31,local_authority_source_scientificName_list
32,matching_record
34,record_final_status
36,name_cleaning_log
38,record_final_status
40,unable-to-validate_record_count
41,name_cleaning_log
44,matching_record
46,authorship
48,matching_record
52,authorship
53,name_cleaning_log
55,record_final_status
57,name_cleaning_log
58,other_fields
59,scientificName
60,authorship
63,data_with_cleaned_names
65,unable-to-validate_record_count
66,name_cleaning_log
67,data_with_cleaned_names
69,data_with_cleaned_names_and_dates
70,date_cleaning_log
71,date_cleaning_log
72,data_with_cleaned_names
74,eventDate
76,other_fields
77,date_cleaning_log
78,eventDate
79,empty_eventDate
80,nonEmpty_eventDate
81,date_cleaning_log
83,empty_eventDate
84,record_final_status
85,unable-to-validate_record_count
86,date_cleaning_log
87,nonEmpty_eventDate
88,compliant_eventDate
89,nonCompliant_eventDate
90,date_cleaning_log
91,nonCompliant_eventDate
92,updated_eventDate
93,date_cleaning_log
95,updated_eventDate
96,compliant_eventDate
97,record_final_status
98,accepted_record_count
99,date_cleaning_log
100,other_fields
101,updated_eventDate
102,eventDate
103,data_with_cleaned_names_and_dates
104,accepted_record_count
105,unable-to-validate_record_count
106,date_cleaning_log
