program_id,program_name,qualified_program_name,begin_annotation_id,end_annotation_id
1,clean_name_and_date_workflow,clean_name_and_date_workflow,1,321
2,clean_scientific_name,clean_name_and_date_workflow.clean_scientific_name,16,190
3,initialize_run,clean_name_and_date_workflow.clean_scientific_name.initialize_run,31,37
4,read_scientific_name,clean_name_and_date_workflow.clean_scientific_name.read_scientific_name,38,45
5,read_data_records,clean_name_and_date_workflow.clean_scientific_name.read_data_records,46,64
6,check_if_name_is_nonempty,clean_name_and_date_workflow.clean_scientific_name.check_if_name_is_nonempty,65,78
7,log_name_is_empty,clean_name_and_date_workflow.clean_scientific_name.log_name_is_empty,79,92
8,find_name_match,clean_name_and_date_workflow.clean_scientific_name.find_name_match,93,112
9,log_match_not_found,clean_name_and_date_workflow.clean_scientific_name.log_match_not_found,113,125
10,update_scientific_name,clean_name_and_date_workflow.clean_scientific_name.update_scientific_name,126,133
11,update_authorship,clean_name_and_date_workflow.clean_scientific_name.update_authorship,134,142
12,log_updated_record,clean_name_and_date_workflow.clean_scientific_name.log_updated_record,143,153
13,log_accepted_record,clean_name_and_date_workflow.clean_scientific_name.log_accepted_record,154,164
14,write_data_into_file,clean_name_and_date_workflow.clean_scientific_name.write_data_into_file,165,178
15,log_summary,clean_name_and_date_workflow.clean_scientific_name.log_summary,179,189
16,clean_event_date,clean_name_and_date_workflow.clean_event_date,191,320
17,initialize_run,clean_name_and_date_workflow.clean_event_date.initialize_run,204,210
18,read_data_records,clean_name_and_date_workflow.clean_event_date.read_data_records,211,227
19,check_if_date_is_nonempty,clean_name_and_date_workflow.clean_event_date.check_if_date_is_nonempty,228,241
20,log_date_is_empty,clean_name_and_date_workflow.clean_event_date.log_date_is_empty,242,255
21,check_ISO_date_compliant,clean_name_and_date_workflow.clean_event_date.check_ISO_date_compliant,256,268
22,update_event_date,clean_name_and_date_workflow.clean_event_date.update_event_date,269,279
23,log_accepted_record,clean_name_and_date_workflow.clean_event_date.log_accepted_record,280,295
24,write_data_into_file,clean_name_and_date_workflow.clean_event_date.write_data_into_file,296,307
25,log_summary,clean_name_and_date_workflow.clean_event_date.log_summary,308,319
26,exactmatch,exactmatch,322,327
27,fuzzymatch,fuzzymatch,328,332
28,fieldmatch,fieldmatch,333,338
29,timestamp,timestamp,339,342
